target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
central,200,left,,,,,2,1,49,10,,,,,space,1.00810885182,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,right,,,,,2,2,50,15,,,,,space,0.879666270434,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,right,,,,,2,3,51,7,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,right,,,,,2,4,52,5,,,,,space,1.02553215562,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,2,5,53,20,,,,,space,1.28600562362,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,2,6,54,23,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,right,,,,,2,7,55,13,,,,,space,1.00322024168,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,,,,,2,8,56,4,,,,,space,0.960608052141,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,2,9,57,22,,,,,space,0.876852644679,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,2,10,58,6,,,,,space,0.951475536695,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,2,11,59,8,,,,,space,0.818874046841,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,2,12,60,18,,,,,space,1.15212603837,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,,,,,2,13,61,9,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,2,14,62,14,,,,,space,0.824743088856,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,right,,,,,2,15,63,12,,,,,space,1.43571026485,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,2,16,64,16,,,,,space,0.888605884267,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,2,17,65,1,,,,,space,0.866406065576,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,left,,,,,2,18,66,19,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,2,19,67,11,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,,,,,2,20,68,21,,,,,space,0.780910422973,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,2,21,69,2,,,,,space,0.978442860755,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,2,22,70,17,,,,,space,1.22034825655,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,2,23,71,0,,,,,space,0.835060321912,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,left,,,,,3,0,72,3,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,3,1,73,1,,,,,space,0.816470668758,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,right,,,,,3,2,74,12,,,,,space,1.04497079936,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,3,3,75,8,,,,,space,1.07633295572,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,right,,,,,3,4,76,5,,,,,space,0.78848477949,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,3,5,77,17,,,,,space,1.22724759711,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,left,,,,,3,6,78,19,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,3,7,79,14,,,,,space,0.858406166147,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,3,8,80,11,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,,,,,3,9,81,9,,,,,space,0.829162784656,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,,,,,3,10,82,21,,,,,space,1.14036567497,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,3,11,83,0,,,,,space,0.824353653887,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,left,,,,,3,12,84,10,,,,,space,1.13143646748,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,,,,,3,13,85,4,,,,,space,0.856653708781,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,3,14,86,23,,,,,space,0.826678251006,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,3,15,87,16,,,,,space,0.826602752584,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,3,16,88,6,,,,,space,0.876500504952,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,3,17,89,18,,,,,space,0.806087505534,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,3,18,90,2,,,,,space,0.858081962931,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,right,,,,,3,19,91,15,,,,,space,0.857376566016,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,3,20,92,20,,,,,space,1.29724615838,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,3,21,93,22,,,,,space,1.20270641939,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,right,,,,,3,22,94,13,,,,,space,0.971631939256,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,right,,,,,3,23,95,7,,,,,space,0.836539141148,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,4,0,96,6,,,,,space,0.864891557447,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,right,,,,,4,1,97,12,,,,,space,1.12117357094,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,,,,,4,2,98,9,,,,,space,1.036649211,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,right,,,,,4,3,99,13,,,,,space,1.13856139537,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,right,,,,,4,4,100,7,,,,,space,1.29895754907,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,,,,,4,5,101,21,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,,,,,4,6,102,4,,,,,space,1.01355689061,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,4,7,103,11,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,left,,,,,4,8,104,19,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,4,9,105,22,,,,,space,1.32891673383,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,4,10,106,1,,,,,space,1.03755875398,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,4,11,107,14,,,,,space,0.961550210991,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,4,12,108,16,,,,,space,0.825096346043,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,right,,,,,4,13,109,15,,,,,space,0.898786717305,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,right,,,,,4,14,110,5,,,,,space,1.0835969376,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,left,,,,,4,15,111,10,,,,,space,1.03994222729,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,left,,,,,4,16,112,3,,,,,space,0.913228706442,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,4,17,113,18,,,,,space,1.38392966145,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,4,18,114,17,,,,,space,1.2240179967,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,4,19,115,8,,,,,space,1.01593715123,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,4,20,116,0,,,,,space,0.815577049597,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,4,21,117,23,,,,,space,0.81924595165,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,right,,,,,4,22,118,20,,,,,space,1.24940418405,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,4,23,119,2,,,,,space,0.936244969683,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,,,,,5,0,120,22,,,,,space,1.23920114149,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,right,,,,,5,1,121,15,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,,,,,5,2,122,2,,,,,space,0.949077187184,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,left,,,,,5,3,123,10,,,,,space,1.15885643287,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,,,,,5,4,124,6,,,,,space,1.00085052709,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,left,,,,,5,5,125,8,,,,,space,0.983685216976,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,,,,,5,6,126,23,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,,,,,5,7,127,14,,,,,space,1.15237173998,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,left,,,,,5,8,128,17,,,,,space,1.53807746515,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,right,,,,,5,9,129,13,,,,,space,1.09535639306,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,,,,,5,10,130,9,,,,,space,0.864563652643,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,350,left,,,,,5,11,131,16,,,,,space,1.42896918463,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,,,,,5,12,132,1,,,,,space,0.86977080886,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,,,,,5,13,133,4,,,,,space,0.820625456588,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,,,,,5,14,134,18,,,,,space,0.850585200074,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,,,,,5,15,135,0,,,,,space,0.842163529163,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,right,,,,,5,16,136,12,,,,,space,0.883032270861,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,,,,,5,17,137,11,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,,,,,5,18,138,21,,,,,space,1.16024494733,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,left,,,,,5,19,139,19,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,right,,,,,5,20,140,7,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
